method,n,m,k,noise_std,matrix_type,signal_type,nrmse,precision,recall,f1,exact_support,trial
OMP,256,128,32,0.01,gaussian,sparse,0.014025726113254311,0.96875,0.96875,0.96875,0,0
CoSaMP,256,128,32,0.01,gaussian,sparse,0.014438355585227302,0.96875,0.96875,0.96875,0,0
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.07887131229646646,0.875,0.875,0.875,0,0
OMP,256,128,32,0.01,gaussian,sparse,0.016495909420069833,0.9375,0.9375,0.9375,0,1
CoSaMP,256,128,32,0.01,gaussian,sparse,0.021252922707303962,0.875,0.875,0.875,0,1
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.08242538308595701,0.875,0.875,0.875,0,1
OMP,256,128,32,0.01,gaussian,sparse,0.016069333764998365,0.96875,0.96875,0.96875,0,2
CoSaMP,256,128,32,0.01,gaussian,sparse,0.01832789377131933,0.9375,0.9375,0.9375,0,2
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.03789677093962007,0.9375,0.9375,0.9375,0,2
OMP,256,128,32,0.01,gaussian,sparse,0.012189663178742293,1.0,1.0,1.0,1,3
CoSaMP,256,128,32,0.01,gaussian,sparse,0.018736073103994,0.9375,0.9375,0.9375,0,3
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.05594049121182001,0.9375,0.9375,0.9375,0,3
OMP,256,128,32,0.01,gaussian,sparse,0.01101059156910023,1.0,1.0,1.0,1,4
CoSaMP,256,128,32,0.01,gaussian,sparse,0.016042140846887036,0.96875,0.96875,0.96875,0,4
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.0861534138645846,0.9375,0.9375,0.9375,0,4
OMP,256,128,32,0.01,gaussian,sparse,0.013745239902582848,1.0,1.0,1.0,1,5
CoSaMP,256,128,32,0.01,gaussian,sparse,0.013745239902582192,1.0,1.0,1.0,1,5
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.14698097461101248,0.875,0.875,0.875,0,5
OMP,256,128,32,0.01,gaussian,sparse,0.011420402803770996,1.0,1.0,1.0,1,6
CoSaMP,256,128,32,0.01,gaussian,sparse,0.015841838635825816,0.96875,0.96875,0.96875,0,6
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.03232344472708916,0.96875,0.96875,0.96875,0,6
OMP,256,128,32,0.01,gaussian,sparse,0.019845911635736936,0.9375,0.9375,0.9375,0,7
CoSaMP,256,128,32,0.01,gaussian,sparse,0.02591809445064905,0.875,0.875,0.875,0,7
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.03256515175356028,0.9375,0.9375,0.9375,0,7
OMP,256,128,32,0.01,gaussian,sparse,0.009055963235024013,1.0,1.0,1.0,1,8
CoSaMP,256,128,32,0.01,gaussian,sparse,0.011590992948836492,0.96875,0.96875,0.96875,0,8
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.032842707875919405,1.0,1.0,1.0,1,8
OMP,256,128,32,0.01,gaussian,sparse,0.014058470334026194,0.9375,0.9375,0.9375,0,9
CoSaMP,256,128,32,0.01,gaussian,sparse,0.013814944103149299,0.9375,0.9375,0.9375,0,9
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.1709138445028374,0.8125,0.8125,0.8125,0,9
OMP,256,128,32,0.01,gaussian,sparse,0.01641830595014313,0.96875,0.96875,0.96875,0,10
CoSaMP,256,128,32,0.01,gaussian,sparse,0.013879387227012511,0.96875,0.96875,0.96875,0,10
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.0320855410466234,0.96875,0.96875,0.96875,0,10
OMP,256,128,32,0.01,gaussian,sparse,0.015243242080511178,0.96875,0.96875,0.96875,0,11
CoSaMP,256,128,32,0.01,gaussian,sparse,0.011667132445780857,1.0,1.0,1.0,1,11
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.03659122494087965,0.96875,0.96875,0.96875,0,11
OMP,256,128,32,0.01,gaussian,sparse,0.014873865187042824,1.0,1.0,1.0,1,12
CoSaMP,256,128,32,0.01,gaussian,sparse,0.014873865187043148,1.0,1.0,1.0,1,12
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.034652872113622044,1.0,1.0,1.0,1,12
OMP,256,128,32,0.01,gaussian,sparse,0.01661819764560086,1.0,1.0,1.0,1,13
CoSaMP,256,128,32,0.01,gaussian,sparse,0.02206359608284214,0.96875,0.96875,0.96875,0,13
