trial,matrix_type,coherence_strength,n,m,k,m_over_n,k_over_m,noise_std,signal_type,method,nrmse,precision,recall,f1,exact_support
0,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.7501192405970796,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
0,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.36093361793922313,0.5,0.5,0.5,0
0,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.4401697936489433,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
0,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.5426229273771387,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
0,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.3145916960600702,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
0,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.247295529995413,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
0,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.24729552999541257,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
1,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.6939974631071819,0.375,0.375,0.375,0
1,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.49292778256863107,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
1,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.649676264952438,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
1,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.4777010496902338,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
1,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.5339108730943644,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
1,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.3316225495056378,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
1,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.3186363423026408,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
2,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.5959648999657707,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
2,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.5521622509017444,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
2,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.5738491168483577,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
2,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.18292187637752622,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
2,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.16439936449592205,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
2,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.17286778343322906,0.875,0.875,0.875,0
2,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.1745304812211101,0.875,0.875,0.875,0
