trial,matrix_type,n,m,k,m_over_n,k_over_m,noise_std,method,nrmse,precision,recall,f1,exact_support
0,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5555197353250277,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
0,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5330156466489674,0.5,0.5,0.5,0
0,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.4211456757115124,0.625,0.625,0.625,0
0,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.4085263679835968,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
0,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.3757702498634517,0.75,0.75,0.75,0
0,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.42006833385415765,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
0,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.3987237451127122,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
1,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5556014493104638,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
1,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4311340824648362,0.5,0.5,0.5,0
1,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.3575349340740492,0.625,0.625,0.625,0
1,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.24367909363301546,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
1,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.23611506071208985,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
1,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.29941932896555395,0.75,0.75,0.75,0
1,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.29941932896555384,0.75,0.75,0.75,0
2,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.4757079377574592,0.5,0.5,0.5,0
2,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5893865278054157,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
2,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.22837734976099433,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
2,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.24085731348659617,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
2,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.20783478501702307,0.875,0.875,0.875,0
2,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.2322838050526302,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
