trial,method,n,m,k,noise_std,matrix_type,nrmse,precision,recall,f1,exact_support
0,CorrelationTopK,256,128,55,0.01,gaussian,0.6705889129017627,0.36363636363636365,0.36363636363636365,0.36363636363636365,0
0,LearnedSupportMLP,256,128,55,0.01,gaussian,0.605571767193126,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
0,OMP,256,128,55,0.01,gaussian,0.2655457906520777,0.6909090909090909,0.6909090909090909,0.6909090909090909,0
0,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.22163725912566715,0.7272727272727273,0.7272727272727273,0.7272727272727273,0
0,CoSaMP,256,128,55,0.01,gaussian,0.6682103417007642,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
1,CorrelationTopK,256,128,55,0.01,gaussian,0.5555391356412922,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
1,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5907431496866573,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
1,OMP,256,128,55,0.01,gaussian,0.09578571830990897,0.8727272727272727,0.8727272727272727,0.8727272727272727,0
1,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.08063754795491028,0.8909090909090909,0.8909090909090909,0.8909090909090909,0
1,CoSaMP,256,128,55,0.01,gaussian,0.33849855931369094,0.6909090909090909,0.6909090909090909,0.6909090909090909,0
2,CorrelationTopK,256,128,55,0.01,gaussian,0.6711225446827439,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
2,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5853063949835077,0.509090909090909,0.509090909090909,0.509090909090909,0
2,OMP,256,128,55,0.01,gaussian,0.34266071680676113,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
2,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.3362526760028933,0.6545454545454545,0.6545454545454545,0.6545454545454545,0
2,CoSaMP,256,128,55,0.01,gaussian,0.41376671506259677,0.6,0.6,0.6,0
3,CorrelationTopK,256,128,55,0.01,gaussian,0.7228460336924447,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
3,LearnedSupportMLP,256,128,55,0.01,gaussian,0.7136056437436314,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
3,OMP,256,128,55,0.01,gaussian,0.8525302743584062,0.4,0.4,0.4000000000000001,0
3,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.837353762189306,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
3,CoSaMP,256,128,55,0.01,gaussian,0.5967938587944344,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
4,CorrelationTopK,256,128,55,0.01,gaussian,0.5851556126355589,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
4,LearnedSupportMLP,256,128,55,0.01,gaussian,0.49384816030444223,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
4,OMP,256,128,55,0.01,gaussian,0.026849722083662077,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
4,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.028768359563834243,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
4,CoSaMP,256,128,55,0.01,gaussian,0.6746970371842973,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
5,CorrelationTopK,256,128,55,0.01,gaussian,0.6583139151458206,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
5,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5588402819830215,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
5,OMP,256,128,55,0.01,gaussian,0.35331738176452404,0.6727272727272727,0.6727272727272727,0.6727272727272727,0
