trial,matrix_type,n,m,k,m_over_n,k_over_m,noise_std,method,nrmse,precision,recall,f1,exact_support
0,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.44766531320943753,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
0,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4122918957091267,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
0,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.017507024021592443,0.875,0.875,0.875,0
0,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.01962144486031597,0.875,0.875,0.875,0
0,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.022548826095179577,0.875,0.875,0.875,0
0,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.020943434765630042,0.875,0.875,0.875,0
1,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5233815105133247,0.2916666666666667,0.2916666666666667,0.2916666666666667,0
1,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5338681770600006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
1,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.02596559407432551,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
1,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.025335898428595304,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
1,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.024623136225120867,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
1,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.024623136225121075,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
2,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.7999714635181924,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
2,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.6697184161463774,0.5,0.5,0.5,0
2,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.011840354772736142,1.0,1.0,1.0,1
2,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.011840354772736235,1.0,1.0,1.0,1
2,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.011840354772736405,1.0,1.0,1.0,1
2,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.011840354772736353,1.0,1.0,1.0,1
3,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.47493623421034176,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
3,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4593311264058557,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
3,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.011162750472435349,1.0,1.0,1.0,1
3,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.011162750472435949,1.0,1.0,1.0,1
3,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.011162750472435779,1.0,1.0,1.0,1
3,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.011162750472435643,1.0,1.0,1.0,1
4,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5236146949244606,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
4,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.40497924218781695,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
4,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.01584851725415396,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
