trial,method,matrix_type,signal_type,coherence_strength,n,m,k,m_over_n,k_over_m,noise_std,nrmse,precision,recall,f1,exact_support
0,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6593466983451685,0.5,0.5,0.5,0
0,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7027048735404746,0.4827586206896552,0.4827586206896552,0.4827586206896552,0
0,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.659272012434949,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
0,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.651751692241658,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
1,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.38919713212105406,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
1,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.43012968313728267,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
1,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.31236114268852405,0.6551724137931034,0.6551724137931034,0.6551724137931034,0
1,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.33027439887805865,0.6551724137931034,0.6551724137931034,0.6551724137931034,0
2,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7375406528072923,0.39655172413793105,0.39655172413793105,0.39655172413793105,0
2,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8308593560392037,0.39655172413793105,0.39655172413793105,0.39655172413793105,0
2,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8107177870920517,0.41379310344827586,0.41379310344827586,0.41379310344827586,0
2,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.608692799368321,0.4827586206896552,0.4827586206896552,0.4827586206896552,0
3,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5449674688035038,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
3,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6384198181216129,0.5517241379310345,0.5517241379310345,0.5517241379310345,0
3,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.573112650060086,0.5689655172413793,0.5689655172413793,0.5689655172413793,0
3,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.48826591331168645,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
4,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.49629360782925735,0.5517241379310345,0.5517241379310345,0.5517241379310345,0
4,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5003353765914257,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
4,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3012391120995451,0.603448275862069,0.603448275862069,0.603448275862069,0
4,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3251158155220474,0.603448275862069,0.603448275862069,0.603448275862069,0
5,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4819774161562129,0.5517241379310345,0.5517241379310345,0.5517241379310345,0
5,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.47201323985366495,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
5,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5144135318839849,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
5,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4488293601313806,0.5689655172413793,0.5689655172413793,0.5689655172413793,0
6,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.28901692143372315,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
6,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3313347449353429,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
6,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.31326259071675605,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
6,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.30829200009885294,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
7,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3217116854844384,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
7,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3289576983297332,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
7,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.32605007465268165,0.6551724137931034,0.6551724137931034,0.6551724137931034,0
7,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.31518987415565636,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
8,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.9791981848216166,0.39655172413793105,0.39655172413793105,0.39655172413793105,0
8,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,1.0275845352318589,0.39655172413793105,0.39655172413793105,0.39655172413793105,0
8,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,1.0222557821768907,0.39655172413793105,0.39655172413793105,0.39655172413793105,0
8,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8374540890160972,0.4482758620689655,0.4482758620689655,0.4482758620689655,0
9,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3444700207880927,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
9,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.35357810914139254,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
9,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.34786560608052236,0.603448275862069,0.603448275862069,0.603448275862069,0
9,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3555723614255423,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
10,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.2908669604413251,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
10,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.29101874616271717,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
10,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3239278421133792,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
10,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.2905133583635873,0.6551724137931034,0.6551724137931034,0.6551724137931034,0
11,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4153397957316504,0.603448275862069,0.603448275862069,0.603448275862069,0
11,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3690069111818954,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
11,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.41114743412325766,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
11,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.42747391294776027,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
12,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8494168865418631,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
12,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8822480461355866,0.41379310344827586,0.41379310344827586,0.41379310344827586,0
12,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7963869926470065,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
12,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.812084126070845,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
13,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.48709801767297484,0.603448275862069,0.603448275862069,0.603448275862069,0
13,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5268380379519861,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
13,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.44402529799541385,0.6551724137931034,0.6551724137931034,0.6551724137931034,0
13,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.31868876349303576,0.6896551724137931,0.6896551724137931,0.6896551724137931,0
14,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3481883499833718,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
14,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.33069554972802395,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
14,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3402709614395354,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
14,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.34828743825760633,0.603448275862069,0.603448275862069,0.603448275862069,0
15,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.21653981999456565,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
15,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.2504130312296856,0.6551724137931034,0.6551724137931034,0.6551724137931034,0
15,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.2382372697597127,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
15,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.2179571145330251,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
16,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4977679409612274,0.5689655172413793,0.5689655172413793,0.5689655172413793,0
16,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6869558885514199,0.5,0.5,0.5,0
16,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5125243675693741,0.5517241379310345,0.5517241379310345,0.5517241379310345,0
16,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5262659503092715,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
17,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8229768478326259,0.46551724137931033,0.46551724137931033,0.46551724137931033,0
17,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8710689416067517,0.41379310344827586,0.41379310344827586,0.41379310344827586,0
17,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8183047590965963,0.4482758620689655,0.4482758620689655,0.4482758620689655,0
17,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8174787265708812,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
18,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4718259355971965,0.5689655172413793,0.5689655172413793,0.5689655172413793,0
18,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.43218759802293627,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
18,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5484923080492611,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
18,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.45029499289586744,0.603448275862069,0.603448275862069,0.603448275862069,0
19,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7606123350941028,0.39655172413793105,0.39655172413793105,0.39655172413793105,0
19,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8364839153321897,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
19,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7697483360437803,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
19,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7657315067819583,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
20,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7081163477032114,0.5517241379310345,0.5517241379310345,0.5517241379310345,0
20,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6989302765506739,0.5689655172413793,0.5689655172413793,0.5689655172413793,0
20,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6837370742144289,0.5517241379310345,0.5517241379310345,0.5517241379310345,0
20,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7407411264322931,0.5517241379310345,0.5517241379310345,0.5517241379310345,0
21,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7690208064707419,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
21,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8030617259840538,0.41379310344827586,0.41379310344827586,0.41379310344827586,0
21,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8299495842027813,0.39655172413793105,0.39655172413793105,0.39655172413793105,0
21,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7816492724101263,0.4482758620689655,0.4482758620689655,0.4482758620689655,0
22,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.46183647178059334,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
22,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5245503804911613,0.5517241379310345,0.5517241379310345,0.5517241379310345,0
22,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4461279191884727,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
22,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4267485516603703,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
23,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5133017174402376,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
